Name of Organisation,Eng. Name,Eng. Address,Tel. No,Fax. No,Type of Service,Age of Child,Full Day Creche Approved Monthly Fee,Full Day Nursery Approved Monthly Fee,Half Day Nursery Approved Monthly Fee,AM Session Nursery Approved Monthly Fee,PM Session Nursery Approved Monthly Fee,Type of Half Day Nursery,Remarks,Full Day Creche Capacity,Full Day Nursery Capacity,Half Day Nursery Capacity,District
"NG, Shui Kee",Ming Wai International Preschool,"Flat A & B, G/F & 1/F, Alice Court 10-12, Tsat Tsz Mui Road, North Point, Hong Kong",25615008,25900309,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,10180,6210,0,0,AM & PM Sessions,,0,14,98,E/W
"NG, Shui Kee",Ming Wai International Preschool (North Point Branch),"Portion of Shop 1, G/F & 1/F, Fairview Court, 5-13 Tsat Tsz Mui Road, North Point, Hong Kong",29040638,25900309,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,6210,0,0,AM & PM Sessions,,0,0,24,E/W
Ming Wai Education Organization Limited,Ming Wai International Preschool (Prince Edward Branch),"Portion of Shop 3-9 on G/F & Flat 1-5 on 1/F, Kenwood Mansion, 15 Playing Field Road, Kowloon",25222688,27711822,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,11110,6420,0,0,AM & PM Sessions,,0,13,208,KC/YTM
"(i) LO Mo-man and (ii) YEUNG Lai-mei, Kathy",Mink International Play School,"Level 1, Sun Hing Garden, Tai Po, New Territories.",26654333,26639555,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,7914,5540,0,0,AM & PM Sessions,,0,36,90,TP/N
Chiara Anoma De Silva,Montessori for Children (Nursery),"House A, Phoenix Garden, R.B.L. 1033, Tai Tam Village, Stanley, Hong Kong",28139589,28132582,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,9700,0,0,AM & PM Sessions,,0,0,43,CW/S/I
Mulberry House International Education Limited,MULBERRY HOUSE INTERNATIONAL CHILD CARE CENTRE,"Kindergarten Premises, Portion of G/F & LG/F, Commercial Accommodation, Mayfair By the Sea 1, 23 Fo Chun Road, Tai Po, New Territories",23119008,23119350,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,9020,7900,AM & PM Sessions,,0,0,28,TP/N
Philosophia Education Limited,Mynors International Nursery,"Portion A of Commercial Unit Nos. 1-11 on Level 1 of Belair Monte, 3 Ma Sik Road, Fanling, New Territories",23557500,23557600,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,7700,3900,0,0,AM & PM Sessions,,0,1,125,TP/N
New Territories Women & Juveniles Welfare Association Limited,Pentecostal Church of Hong Kong Leung Sing Tak Nursery School,"Part of 4/F Podium, Wings A & B & C, Sheung Ming House, Sheung Tak Estate, Tseung Kwan O, New Territories",21770272,21770788,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,4671,2860,0,0,AM & PM Sessions,,0,15,15,WTS/SK
HUI Wing-to,New Generation Nursery,"Level 3, Sun Tuen Mun Shopping Centre, 55-56 Lung Mun Road, Tuen Mun, N.T.",24625728,24639708,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-6,0,6286,3816,0,0,AM & PM Sessions,,0,30,68,TM
ELEMENTI EDUCATION ORGANIZATION NON-PROFIT MAKING LIMITED,New Jade Elementi International Nursery,"L4 (Portion), Government Building Block, New Jade Shopping Arcade, Kut Shing Street, Chai Wan, Hong Kong",28979157,25059110,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,6134,4368,0,0,AM & PM Sessions,,0,36,26,E/W
"The Methodist Church, Hong Kong",North Point Methodist Church Day Nursery (Fortress Hill),"No. 1-11 on 1/F Princess Mansion, No. 165A-175 King's Road, Hong Kong",25787913,25719988,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,5000,0,0,AM & PM Sessions,,0,0,116,E/W
Hopedale Limited,Olive Tree International Nursery,"Portion of Shop D, G/F, Cronin Garden, 20 Shun Ning Road, Sham Shui Po, Kowloon",26188050,NIL,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,5800,0,0,AM & PM Sessions,,0,0,56,SSP
"LAU, E-Ling Ella",Parkview International Nursery,"G/F, Tower 18, Parkview, 88 Tai Tam Reservoir Road, Hong Kong",28126023,28122938,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,0-3,0,0,10200,0,0,AM & PM Sessions,,0,0,50,CW/S/I
Park View International Kindergarten Limited,Parkview International Pre-school (Kowloon),"Portion of Podium Level, Kowloon Station, 1 Austin Road West, Kowloon",28126801,28126201,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,0-3,0,0,8650,0,0,AM & PM Sessions,,0,0,116,KC/YTM
English Connection Learning Centre Limited,SDM - Chatsworth International Nursery,"G/F (Excluding Classroom 9), 1/F & 2/F, No. 166-166A Boundary Street, Kowloon",25603322,25603332,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,5636,0,0,AM & PM Sessions,,0,0,42,KC/YTM
"Ms CHU ka-nam, Yvonne",Pods Preschool (Tin Hau),"1st Floor of Magnolia Mansion, No. 4 Tin Hau Temple Road, Hong Kong",34603560,34603559,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,7854,0,0,AM & PM Sessions,,0,0,45,E/W
Po Leung Kuk,Po Leung Kuk Lee Shu Fook Nursery,"Portion of Shop 2, G/F, On Chung House, and Shop 2, G/F and 1/F, Commercial Block 1, Shun On Estate, Kwun Tong, Kowloon",23866983,23864718,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,4360,0,0,AM & PM Sessions,,0,0,47,KT
Po Leung Kuk,Po Leung Kuk Vicwood Chong Kee Ting Nursery,"Portion of Vocational Training Centre, G/F, 66 Leighton Road, Hong Kong",28949921,25043466,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,4585,0,0,AM & PM Sessions,,0,0,22,E/W
Sisters of the Precious Blood,Precious Blood Nursery,"123 Un Chau Street, Sham Shui Po, Kowloon",23862586,23869691,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,5099,3310,0,0,AM & PM Sessions,,0,185,48,SSP
"YUNG, Ngar Ying Betty",Rightmind International Nursery (South Horizons),"Portion of UG/F, Phase 4, Tower 26-28, South Horizons, Ap Lei Chau, Hong Kong.",28750452,28750454,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,8400,0,0,AM & PM Sessions,,0,0,84,CW/S/I
Debra Yuk Man PEI,Riviera Funful Children's Corner,"Portion B, 4th Floor, Podium E, Riviera Gardens, Tsuen Wan, New Territories",24082861,24082775,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,9433,6875,0,0,AM & PM Sessions,,0,50,87,TW/KwT
The Procurator in Hong Kong for the Dominican Missions in the Far East,Rosaryhill School (Child Care Section),"Part of 1/F, 41B Stubbs Road, Wan Chai, Hong Kong",25720228,28386141,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,5550,0,0,AM & PM Sessions,,0,0,138,E/W
H.K.S.K.H. Holy Nativity Church,S.K.H. Holy Nativity Church Day Nursery,"Portion of G/F, Block A, Ming Wah Building, 25 Ah Kung Ngam Road, Shaukiwan, Hong Kong",25601713,25397001,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,4606,2838,0,0,AM & PM Sessions,,0,15,9,E/W
S.K.H. St. Peter's Church Castle Peak Child Care Centre Limited,S.K.H. St. Peter's Church Castle Peak Child Care Centre,"Portion of G/F & 1/F, Block C, 22 Tsing Wun Road, Tuen Mun, New Territories",24683237,24619112,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-6,0,7065,3390,0,0,AM & PM Sessions,,0,56,28,TM
S.K.H. Kindly Light Church Holy Carpenter Kindergarten Limited,S.K.H. Kindly Light Church Holy Carpenter Nursery,"(Part of) Level 7, Carpark Building, Hong Pak Court, Lam Tin South Phase 2B, Kowloon",23477988,23477908,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,6990,3600,0,0,AM & PM Sessions,,0,28,23,KT
Sheng Kung Hui Kindly Light Church Or Pui Cheung Kindergarten Limited,S.K.H. Kindly Light Church Or Pui Cheung Nursery,"Portion of G/F, Tung Yuen House, Chuk Yuen North Estate, Wong Tai Sin, Kowloon",23254254,23241730,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,6060,3030,0,0,AM & PM Sessions,,0,9,34,WTS/SK
DML Education (HK) Private Limited,Guidepost Montessori International Child Care Centre (Pok Fu Lam),"Portion of Shop No. 101, Chi Fu Landmark, Chi Fu Fa Yuen, Pokfulam, Hong Kong",21770001,21770045,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,8600,0,0,AM & PM Sessions,,0,0,49,CW/S/I
Baby Auntie Learning Centre Limited,Saint Brigit International Preschool,"Part of G/F & 1/F, Cameron Mansion, 29-31 Lion Rock Road, Kowloon City, Kowloon",23375255,NIL,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,6000,0,0,AM & PM Sessions,,0,0,24,KC/YTM
The Sharon Lutheran Church (HK),Sharon Lutheran Church Nursery,"Part of Rooftop, Carport Building, Tsz Oi Court, Tsz Wan Shan, Kowloon",23260280,23270630,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,2908,0,0,AM & PM Sessions,,0,0,44,WTS/SK
Shaukiwan Kai Fong Welfare Advancement Association Limited,Shaukiwan Kai Fong Welfare Community Centre Cheung Kam Tim Memorial Preschool,"Portion of 1/F, 103 Nam On Street, Shau Kei Wan, Hong Kong.",25693112,25693226,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,5159,3373,0,0,AM & PM Sessions,,0,17,17,E/W
Tsung Tsin Mission of Hong Kong,Shaukiwan Tsung Tsin Nursery School,"1/F, Shaukiwan Tsung Tsin Church, 4 Basel Road, Shau Kei Wan, Hong Kong.",25676880,25398061,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,5232,0,2651,0,AM Session,,0,100,10,E/W
Sophie Kindergarten Limited,Sophie Nursery School,"Part of Units 8-10, UG/F, The Long Beach, 8 Hoi Fai Road, Kowloon",28119929,28119209,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,6900,0,0,AM & PM Sessions,,0,0,140,KC/YTM
On Ming Education Organisation Limited,St. Anna International Play School,"Podium Level (Portion) of Nam Hoi Mansion, No. 2 Tai Wing Avenue, Tai Koo Shing, Quarry Bay, Hong Kong.",25699269,25692290,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3138,0,0,AM & PM Sessions,,0,0,61,E/W
St. Anthony's Anglo-Chinese Primary School & Kindergarten & Child Care Center Limited,St. Anthony's Anglo-Chinese Child Care Centre (Western),"Portion of 1/F, Fu Ga Building, 7-13 Yat Fu Lane, Western, Hong Kong",24948848,24678877,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,4980,0,0,AM & PM Sessions,,0,0,43,CW/S/I
St. Catherine's International Kindergarten (Harbour Place) Limited,St. Catherine's International Nursery (Harbour Place),"1/F, Harbour Place, 8 Oi King Street, Hung Hom, Kowloon",26706600,26706699,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,7527,0,0,AM & PM Sessions,,0,0,230,KC/YTM
On Ming Education Organisation Limited,St. Dominic International Nursery,"Kindergarten A (Portion), Annex to Block 1, Heng Fa Chuen, 100 Shing Tai Road, Chai Wan, Hong Kong.",28970701,25053581,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3570,0,0,AM & PM Sessions,,0,0,56,E/W
St. Hilary's Education Limited,St. Hilary's International Nursery (Hung Hom),"Portion of Entrance of G/F, 1/F, 2/F and Flat Roof of 2/F, Metro 6, 121 Bulkeley Street, Hung Hom, Kowloon",23389097,23389858,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,6860,0,0,AM & PM Sessions,,0,0,83,KC/YTM
St. Hilary's Education Limited,St. Hilary's International Nursery (Ma On Shan),"Portion of Shops 104-112, 1/F, The Waterside, 15 On Chun Street, Ma On Shan, Shatin, New Territories",23381780,23381786,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,6860,0,0,AM & PM Sessions,,0,0,65,ST
St. Johannes College Limited,St. Johannes College (International Pre-Nursery Centre),"G/F, No. 109 Waterloo Road, Kowloon Tong, Kowloon",23362926,23362097,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,7200,0,0,AM & PM Sessions,,0,0,80,KC/YTM
"TAM, Shuk Yin Anny",St. Lorraine Child Care Centre,"Portion of Shop No. G1, G/F, Palm Springs Commercial Centre, Wo Shang Wai, Yuen Long, New Territories",24823299,24823923,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,5800,0,0,AM & PM Sessions,,0,0,80,YL
The Hong Kong Foliage Association Limited,St. Monica's Play School,"No. 12, Ground Floor, Block 1, Belvedere Square Phase 2, Tsuen Wan, New Territories.",24137320,24137822,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,6777,4173,0,0,AM & PM Sessions,,0,70,70,TW/KwT
The Mother Superior of the Soeurs De Saint Paul De Chartres (Hong Kong),St. Paul's Catholic Day Nursery,"Portion of 28 Wan Tau Street, Tai Po, New Territories",26561066,26561067,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,8470,0,0,0,NIL,,0,50,0,TP/N
St. Paul's Day Nursery,St. Paul's Day Nursery,"Part of G/F, 3/F, 4/F and 6/F, 140 Leighton Road, Causeway Bay, Hong Kong",25770406,30192237,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,9365,0,0,0,NIL,,0,276,0,E/W
St Peter's Church (Stanley) Kindergarten and Nursery Limited,St. Peter's Church Nursery (Stanley),"Portion of G/F, Kin Ma House, Ma Hang Estate, Stanley, Hong Kong",28136130,28136162,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3870,0,0,AM & PM Sessions,,0,0,19,CW/S/I
St. Stephen's Church,St. Stephen's Church Nursery,"G/F (Portion), LG1/F (Portion), LG2/F, Church Block, 71 Bonham Road and 62 Pokfulam Road, Hong Kong.",25462863,25462826,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,4472,0,0,AM & PM Sessions,,0,0,57,CW/S/I
Christian and Missionary Alliance Mei Foo Church,Suen Mei Nursery,"Portion of 2/F, 79 Broadway, Mei Foo Sun Chuen, Kowloon",27424925,23108607,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,4700,0,0,AM & PM Sessions,,0,0,24,SSP
Sun Island Education Foundation Limited,Sun Island Child Care Centre (Kwai King Branch),"1/F, Kwai King Building, 31 Kwong Fai Circuit, Kwai Chung, New Territories",24268277,24489877,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,4594,0,2644,2533,AM & PM Sessions,,0,53,28,TW/KwT
Sun Island Education Foundation Limited,Sun Island Child Care Centre (Tokwawan Branch),"LG/F, G/F and 1/F, Pau Chung Building, 152 Pau Chung Street, Tokwawan, Kowloon",27145545,28343322,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,4680,0,2455,2360,AM & PM Sessions,,0,28,19,KC/YTM
Sunkids Kindergarten Limited,Sunkids Preschool,"Portion of G/F, No.2A, Kindergarten, Yuet Wu Villa, 2 Wu Sau Street, Tuen Mun, New Territories",24403088,31039665,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,5841,4290,0,0,AM & PM Sessions,,0,112,103,TM
Sprout Education International Company Limited,Sunshine House International Pre-school (Clearwater Bay),"Level 7, Silverstrand Mart, No. 2 Silver Cape Road, Clearwater Bay, Sai Kung, New Territories",21856135,NIL,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,7800,0,0,AM & PM Sessions,,0,0,42,WTS/SK
"FERRIS COLE, Karen Teresa",Sunshine House International Pre-school (Tung Chung),"Portion of No. 8, Mei Tung Street, Tung Chung Crescent, Tung Chung, Lantau Island, Hong Kong",21093873,30192217,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,6300,5500,AM & PM Sessions,,0,0,30,CW/S/I
Swindon Education Limited,Swindon Child Care Centre,"Part of Shop 108, First Floor, Commercial Premises, Bo Shek Mansion, No. 328 Sha Tsui Road, Tsuen Wan, New Territories",26176108,26176208,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,4840,0,0,AM & PM Sessions,,0,0,46,TW/KwT
"LI, Shuk Han",Talent Nursery,"Nursery, Portion of Ground Floor, No. 2, Tin Lung Road, Kenswood Court, Kingswood Villas, Tin Shui Wai, Yuen Long, New Territories",31522600,31522599,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,5635,3901,0,0,AM & PM Sessions,,0,100,85,YL
The Boys' and Girls' Clubs Association of Hong Kong,The Boys' and Girls' Clubs Association of Hong Kong Cheerland Nursery School (Wanchai),"2/F, 3 Lockhart Road, Wan Chai, Hong Kong",25298484,25298482,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,6042,0,0,0,NIL,,0,110,0,E/W
"The Church of Christ in China, Cheung Chau Church",The Church of Christ in China Cheung Chau Church Kam Kong Child Care Centre,"Part of 14 School Road, Cheung Chau, Hong Kong.",29812223,29868066,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,5583,3162,0,0,AM & PM Sessions,,0,14,18,CW/S/I
"The Church of Christ in China, Wanchai Church",The Church of Christ in China Wanchai Church Nursery,"Portion of 2/F, Chuk Kui Terrace, 77 Spring Garden Lane, Wan Chai, Hong Kong.",25279615,25275013,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,4500,0,0,AM & PM Sessions,,0,0,24,E/W
The Hong Kong Harbour Mission Church,The HKHMC Yan Oi Nursery,"G/F, (Portion), 38 San Shi Street, Ap Lei Chau, Hong Kong.",25547808,25531565,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3973,0,0,AM & PM Sessions,,0,0,20,CW/S/I
The EdUHK Schools Limited,The Education University of Hong Kong Early Childhood Learning Centre (Nursery Section),"Room G02 & G03, G/F, Senior Staff Quarters, The Education University of Hong Kong, 10 Lo Ping Road, Tai Po, N.T.",29481638,29480660,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,0-3,12306,9826,0,0,0,NIL,,14,45,0,TP/N
The Mission Covenant Church Limited,The Mission Covenant Church Little Angel (Tin Shing) Nursery,"1/F (Portion), Annex Block, Tin Shing Shopping Centre, Tin Shui Wai, New Territories.",21499005,21499003,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,2749,0,0,AM & PM Sessions,,0,0,21,YL
The Salvation Army,The Salvation Army Fu Keung Nursery School,"Part of Unit 121-140, G/F, Fu Keung House, Tai Wo Hau Estate, Tsuen Wan, New Territories",26144481,24390666,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3580,0,0,AM & PM Sessions,,0,0,56,TW/KwT
The Salvation Army,The Salvation Army Hing Yan Nursery School,"Unit KG01, G/F, West Wing, TKO Gateway, Hau Tak Estate, 2 Sheung Ning Road, Tsueng Kwan O, New Territories",27066222,27049262,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,0,3086,PM Session,,0,0,54,WTS/SK
The Salvation Army,The Salvation Army Ping Tin Nursery,"Part of G/F, Ping Shing House, Ping Tin Estate, Lam Tin, Kowloon",27755332,27755412,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,0,3700,PM Session,,0,0,44,KT
"CHOY, Lai Yu Lily",Think International Nursery,"G/F, Phase 3, Laguna City, Cha Kwo Ling Road, Kwun Tong, Kowloon",27274747,27272613,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,11885,6600,0,0,AM & PM Sessions,,0,14,59,KT
"CHOY, Lai Yu Lily",Think International Nursery (Ma On Shan),"Kindergarten (Portion), Level 2, Sunshine Bazaar, Ma On Shan, New Territories.",26337800,26337787,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,11885,6600,0,0,AM & PM Sessions,,0,10,35,ST
"CHOY, Lai Yu Lily",Think International Nursery (Mei Foo),"Shop 152 (Portion), 1/F, Nob Hill, 8 King Lai Path, Kwai Chung, New Territories",27277585,31571180,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,11885,6600,0,0,AM & PM Sessions,,0,1,46,SSP
Choy Lai Yu Lily,Think International Nursery (Nam Cheong),"Portion of Shop G-26, V-WALK, G/F, 28 Sham Mong Road, Sham Shui Po, KLN",21572111,21572000,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,6980,0,0,AM & PM Sessions,,0,0,54,SSP
Tivoli Kindergarten & Nursery Limited,Tivoli Nursery,"Shop Nos. 21-25, 1/F, Tsing Yi Square, Tsing Yi Garden, Tsing Yi, New Territories",24322223,24361820,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,7583,4653,0,0,AM & PM Sessions,,0,104,36,TW/KwT
KWOK MAN VERNACULAR NORMAL SCHOOLS ALUMNI ASSOCIATION EDUCATION FOUNDATION FUND LIMITED,Kwok Man Vernacular Normal Anglo-Chinese Nursery,"Part of G/F, Commercial House of Greenery Crest, 33 Cheung Shek Road, Cheung Chau, Hong Kong",29810066,29810366,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,5381,3238,0,0,AM & PM Sessions,,0,23,1,CW/S/I
MS LO MO-MAN,TOPKIDS INTERNATIONAL PLAY SCHOOL (YUEN LONG),"1/F, Shing Fat Building, 14 Yuen Long Tai Cheung Street, Yuen Long, N.T. (Portion of)",24472669,24471005,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,6050,0,0,AM & PM Sessions,,0,0,84,YL
Truth Baptist Church Limited,Truth Baptist Church Glory Nursery (Greenfield Court),"2/F., of the Podium of Greenfield Court, Nos 9-11 Sha Tin Wai Road, Shatin, N.T.",26359706,26359116,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,7410,4133,0,0,AM & PM Sessions,,0,37,66,ST
Truth Baptist Church Limited,Truth Baptist Church Pictorial Nursery,"Podium Floor, 19-21 On King Street, Pictorial Garden, Shatin, N.T. (Portion)",26356933,26356960,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,0,5272,PM Session,,0,0,76,ST
Kwun Tong Baptist Church Limited,Tsui Lam Estate Baptist Nursery,"(Portion of) G/F, Nga Lam House, Tsui Lam Estate, Tseung Kwan O",27024711,27025533,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3805,0,0,AM & PM Sessions,,0,0,37,WTS/SK
Kidsworld International Limited,Tutor Time Braemar Hill International Nursery,"Portion of Shop No. 6-10, LG/F, Braemar Hill Shopping Centre, No. 45 Braemar Hill Road, North Point, Hong Kong",25291833,25075445,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,12430,0,0,AM & PM Sessions,,0,0,42,E/W
Kidsworld International Limited,Tutor Time International Nursery (Mid Levels Campus),"Shop B, G/F, Botanical Court, 5 Caine Road, Mid-Levels, Hong Kong",25292288,25075445,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,12430,0,0,AM & PM Sessions,,0,0,56,CW/S/I
Kidsworld International Limited,Tutor Time International Nursery (Kowloon Tong),"Portion of 1/F, No. 1 Dorset Crescent, Kowloon Tong, Kowloon",23370822,25075445,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,11960,11660,AM & PM Sessions,,0,0,18,KC/YTM
Kidsworld International Limited,Tutor Time International Nursery (Yoho),"Portion of Shop G011, Ground Level and Mezzanine Level, Yoho Mall I, No. 9 Yuen Lung Street, Yuen Long, New Territories",23928188,25075445,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,10220,9350,AM & PM Sessions,,0,0,84,YL
Tung Wah Group of Hospitals,TWGHs Lions Club of Metropolitan Hong Kong Nursery,"G/F, (Portion) Ming Yu House & Ming Chau House, Kin Ming Estate, Tseung Kwan O",31883565,31883567,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,2840,0,0,AM & PM Sessions,,0,1,55,WTS/SK
United Christian Medical Service,United Christian Medical Service Nursery School,"1/F, Block J (Chen Kou Bun Building), United Christian Hospital, 130 Hip Wo Street, Kwun Tong, Kowloon",23472286,23486740,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,6941,0,0,0,NIL,,0,60,0,KT
ALL LUCK LIMITED,Victoria (Belcher) International Nursery,"Portion of Level 3 (Nursery Area) of the Westwood, 8 Belcher's Street, Hong Kong",25427001,25427006,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,11614,0,0,AM & PM Sessions,,0,0,47,CW/S/I
Victoria (Kornhill) International Kindergarten Limited,Victoria (Harbour Green) International Nursery,"G/F, Kindergarten, Harbour Green, 8 Sham Mong Road, Kowloon",28851928,35161313,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,11266,0,0,AM & PM Sessions,,0,0,150,KC/YTM
Fine Metro Limited,Victoria (Homantin) International Nursery,"1/F, Carmel-on-the-Hill, 9 Carmel Village Street, Ho Man Tin, Kowloon.",27629130,27629120,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,0-3,0,0,11310,0,0,AM & PM Sessions,,0,0,200,KC/YTM
Victoria (Kornhill) Nursery Limited,Victoria (Kornhill) Nursery,"G/F, 14 Hong Yue Street, Kornhill, Quarry Bay, Hong Kong.",25131108,28861587,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,0-3,0,0,10916,0,0,AM & PM Sessions,,0,0,86,E/W
Asset Well Limited,Victoria (Ocean Pride) International Nursery,"G36-G37 & Kindergarten, G/F., Ocean Pride Mall, 100 Tai Ho Road, Tsuen Wan West, New Territories",21866222,21867910,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,11198,0,0,AM & PM Sessions,,0,0,84,TW/KwT
