Survey Years,Sex,Age Group,Race and Hispanic Origin,Measure,Percent,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Presentation Standard,Note1,Note2,Notea,Noteb
2005-2006,All,2-11,Non-Hispanic Black,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,2-11,Non-Hispanic Asian,Untreated Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2005-2006,All,2-11,Hispanic,Untreated Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2005-2006,All,2-11,Mexican American,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,6-19,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,6-19,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,6-19,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,6-11,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,6-11,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,6-11,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,12-19,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,12-19,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,12-19,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,6-19,Non-Hispanic White,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,6-19,Non-Hispanic Black,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,6-19,Non-Hispanic Asian,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2005-2006,All,6-19,Hispanic,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2005-2006,All,6-19,Mexican American,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,20-69,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,20-69,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,20-69,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,20-29,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,20-29,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,20-29,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,30-39,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,30-39,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,30-39,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,40-49,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,40-49,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,40-49,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,50-59,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,50-59,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,50-59,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,60-69,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,60-69,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,60-69,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,20-69,Non-Hispanic White,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,20-69,Non-Hispanic Black,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,20-69,Non-Hispanic Asian,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2005-2006,All,20-69,Hispanic,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2005-2006,All,20-69,Mexican American,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,2-11,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,2-11,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,2-11,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,2-5,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,2-5,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,2-5,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,6-11,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,6-11,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,6-11,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,2-11,Non-Hispanic White,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,2-11,Non-Hispanic Black,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,2-11,Non-Hispanic Asian,Total Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2007-2008,All,2-11,Hispanic,Total Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2007-2008,All,2-11,Mexican American,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,6-19,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,6-19,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,6-19,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,6-11,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,6-11,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,6-11,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,12-19,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,12-19,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,12-19,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,6-19,Non-Hispanic White,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,6-19,Non-Hispanic Black,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,6-19,Non-Hispanic Asian,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2007-2008,All,6-19,Hispanic,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2007-2008,All,6-19,Mexican American,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,20-69,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,20-69,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,20-69,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,20-29,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,20-29,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,20-29,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,30-39,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,30-39,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,30-39,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,40-49,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,40-49,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,40-49,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,50-59,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,50-59,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,50-59,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,60-69,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,60-69,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,60-69,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,20-69,Non-Hispanic White,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,20-69,Non-Hispanic Black,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,20-69,Non-Hispanic Asian,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2007-2008,All,20-69,Hispanic,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2007-2008,All,20-69,Mexican American,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,60 and over,All,Complete Tooth Loss,18.5,16.0,14.7,22.9,,,,,
2007-2008,Male,60 and over,All,Complete Tooth Loss,17.3,16.0,12.0,23.8,,,,,
2007-2008,Female,60 and over,All,Complete Tooth Loss,19.5,16.0,15.6,23.9,,,,,
2007-2008,All,60-69,All,Complete Tooth Loss,12.4,16.0,9.1,16.3,,,,,
2007-2008,Male,60-69,All,Complete Tooth Loss,12.6,16.0,7.7,19.1,,,,,
2007-2008,Female,60-69,All,Complete Tooth Loss,12.2,16.0,9.3,15.6,,,,,
2007-2008,All,70 and over,All,Complete Tooth Loss,24.8,16.0,20.2,29.8,,,,,
2007-2008,Male,70 and over,All,Complete Tooth Loss,22.8,16.0,15.4,31.6,,,,,
2007-2008,Female,70 and over,All,Complete Tooth Loss,26.2,16.0,21.0,32.0,,,,,
2007-2008,All,60 and over,Non-Hispanic White,Complete Tooth Loss,17.7,14.0,12.8,23.7,,,,,
2007-2008,All,60 and over,Non-Hispanic Black,Complete Tooth Loss,28.8,11.0,24.2,33.7,,,,,
2007-2008,All,60 and over,Non-Hispanic Asian,Complete Tooth Loss,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2007-2008,All,60 and over,Hispanic,Complete Tooth Loss,15.4,13.0,11.1,20.7,,,,,
2007-2008,All,60 and over,Mexican American,Complete Tooth Loss,9.4,9.0,5.2,15.4,,,,,
2007-2008,All,2-11,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,2-11,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,2-11,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,2-5,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,2-5,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,2-5,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,6-11,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,6-11,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,6-11,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,2-11,Non-Hispanic White,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,2-11,Non-Hispanic Black,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,2-11,Non-Hispanic Asian,Untreated Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2007-2008,All,2-11,Hispanic,Untreated Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2007-2008,All,2-11,Mexican American,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,6-19,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,6-19,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,6-19,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,6-11,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,6-11,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,6-11,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,12-19,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,12-19,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,12-19,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,6-19,Non-Hispanic White,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,6-19,Non-Hispanic Black,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,6-19,Non-Hispanic Asian,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2007-2008,All,6-19,Hispanic,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2007-2008,All,6-19,Mexican American,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,20-69,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,20-69,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,20-69,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,20-29,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,20-29,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,20-29,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,30-39,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,30-39,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,30-39,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,40-49,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,40-49,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,40-49,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,50-59,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,50-59,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,50-59,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,60-69,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Male,60-69,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,Female,60-69,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,20-69,Non-Hispanic White,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,20-69,Non-Hispanic Black,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2007-2008,All,20-69,Non-Hispanic Asian,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2007-2008,All,20-69,Hispanic,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2007-2008,All,20-69,Mexican American,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,2-11,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,2-11,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,2-11,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
