OBJECTID,SYSTEM,PARENTID,DEPARTMENT,DESCRIPTION,SYNTURF_Location,System_Type,Turf_Type,Infill_Material,JOP,Maint_By,Maint_By_Spec,Construction_Entity,Construction_Entity_Spec,Contract_Type,Contract_Number,Commission_Date,RETIRED,Borough,Shape
72,M107-SYNTURF-0026,M107,M-11R,"Wards Island - Fields 90, 91, 92",Sunken Garden Loop,Field Group,Infill,Green,false,Other,Randall's Island Park Alliance,Unknown,NULL,Unknown,NULL,04/01/2017,False,M,0xD708000001041400000000B7B841089F2E4100FE238D09840B41809ED11BDA9F2E4100A636553E850B4180B31291D09F2E41004A46150F860B4180CAFBEFCB9F2E410030F87BE2860B41800BF742CC9F2E410034F1B0B6870B4100745889D19F2E41002826D989880B4180D65DB7DB9F2E4100F03F1E5A890B4180DA2EB6EA9F2E41007C97AC258A0B4180FE3264FE9F2E4100F0A1BEEA8A0B418098929516A02E4100A0EC9AA78B0B4100D7361433A02E4100302D9C5A8C0B4100C34AA053A02E41008E4131028D0B418001C93CCFA02E410090F0E2DC8F0B41006CAA5C849E2E4100682EFFD3940B410007AEDC689E2E41007ADBA9C1940B4100E82072879D2E4100067EE6638E0B410048D823929D2E4100FE9CC9498E0B410069E5F3DB9C2E41002C381839890B41803748D0E09C2E4100060BFCE2880B4100B7B841089F2E4100FE238D09840B4101000000020000000001000000FFFFFFFF0000000003
129,R109-SYNTURF-0009,R109,R-01,CPL. Thompson Park,Broadway and Wayne Street,Field Group,Infill,EPDM,false,DPR,NULL,DPR,NULL,Capital,R109-107M,07/30/2010,False,R,0xD70800000104180000000095FCB002072D41008033B0F0FB044180532CC7E8062D41007ADC3117FC0441003F62E0CD062D4100FE1AA830FC044100EE9A65B2062D41008225AE3CFC044100FD80C196062D41005AF7163BFC044180BB433788062D41008C5795CEFB04410006C60E98062D41006A3C85A7FB0441802EE33DFC052D410030B0731FF70441800382E1EA052D410074E8913FF7044180F51A6DDD052D4100DEE6DFDAF60441007BFB08EC052D4100AE23F87BF60441008D29A1FD052D410054AD8C25F6044100FFB3E711062D410094291BD9F5044180763D8328062D41008691F597F504410013B2F53F082D4100D0395419F104418000569E54082D4100BCE5FCF0F00441007F2B756A082D4100A0CE44D4F0044180FB0C1281082D41008402B3C3F0044100D7780998082D4100A07697BFF004410085E5215C092D4100BC8FAD72F604418054123749092D41004C0544D4F60441804AECB732092D41007EC8D528F70441008C393219092D41004C09506EF704410095FCB002072D41008033B0F0FB044101000000020000000001000000FFFFFFFF0000000003
86,M208D-SYNTURF-0039,M208D,M-11,Harlem River Park,East 128th Streeth and 3rd Avenue,Field Group,Infill,Rubber Crumb,false,DPR,NULL,DPR,NULL,Capital,M208-206M,06/28/2007,False,M,0xD708000001041F00000000C280E7BA982E410082900373690C410078C304C4992E4100EAA1E520670C4180D9D7941E9A2E4100CA42D3E1680C41006B36D1E79A2E410006D014246B0C418071BEAAEA9A2E410086AFE19B6B0C4180E0D64AD49A2E4100C6BFF1156C0C4180BF4702C59A2E41008CB095236C0C4100BA73EBA39A2E4100F24A19D86C0C41808CD989B09A2E4100204A1BFD6C0C41803C6944E4992E41009A7D7D57710C4100B8A9CDCA992E410056E0AB29710C41007DF6DCAF992E4100CEDE530C710C41001A771B94992E4100CAE72C00710C418033DE3778992E410074408405710C41006E34E15C992E41004A50381C710C4180F06C2A38982E4100BEC3845C770C410045567327982E410020BF7E23770C4100E7B4E118982E4100A690B8E1760C4100F019BE0C982E410048C97A98760C41008AA76027972E4100E0E61C11700C41000643AF34972E4100D425E5F36F0C4100B12C2217972E4100B4948E1C6F0C4100D4BC3E0A972E4100AAD72F196F0C410089F197F8962E41000632AA9B6E0C418064936903972E41003039FA126E0C4100D70DD31B972E41002820EADB6D0C418044D2B633972E410078FED9E66D0C4100F0A87A64972E4100E6B8DA786D0C41801CA18B5D972E41009CB6AB476D0C4180FB7E92CD982E4100E2DE89096A0C4100C280E7BA982E410082900373690C4101000000020000000001000000FFFFFFFF0000000003
53,B252-SYNTURF-0052,B252,B-13,West Playground,West Street and Avenue Y,Field Group,Non-Infill,Not Applicable,false,DPR,NULL,DPR,NULL,Capital,CNYG-1508M,07/15/2010,False,B,0xD70800000104320000000084960DA0492E410008B4A39EB6024180A3DE71A3492E4100801B513DB60241003C3C4CB1492E41007C95C9AFB402418078DC1CB9492E41000CC8B03DB4024180F88ADFC4492E4100181425D1B3024100D42458D4492E41000226526CB3024100D73537E7492E41009A053C11B30241808C521CFD492E4100E855B4C1B2024100434597154A2E410016F1527FB202410016E92A304A2E410044286B4BB2024100F6024F4C4A2E4100780F0727B2024180FD2725844A2E410016220F14B202418026B19C034B2E4100908EC2E8B102410092ED25094B2E4100FC31BFECB10241001A8A740E4B2E4100D8C634F4B10241003AEC65134B2E41006640F2FEB102410074D3D9174B2E41009A69B20CB2024100595BB31B4B2E4100148D1A1DB20241808626D91E4B2E41003A81C02FB2024100AEE136214B2E410032FC2944B20241009418BD224B2E4100FE9FD259B202418011E261234B2E41007C522D70B202410067FE030E4B2E4100E6B787D2B4024180804F6C0A4B2E4100F2942739B5024100A7F63EFC4A2E4100628A7956B5024100FE10F6F04A2E41000EA21CBCB60241002EC078F74A2E4100D05E27D6B60241807503F0FB4A2E4100E84DF4D6B6024100823C4CF74A2E4100ACA27C5BB702410098CD28E34A2E4100AE8D2095B702410029AA2AC84A2E4100EE6C6484B702410096F7FBC64A2E4100CE381F7DB702418085072EBE4A2E41006A570047B702410009083E684A2E410056CF6316B702418083C1C45D4A2E4100B6316D42B7024100A9DF124F4A2E4100744E5039B702410076393E374A2E41004C198A2AB7024180751E2E0F4A2E410034C5B311B70241003786C6B0492E4100C0122CD7B6024100ACF065A9492E4100FAB351D2B6024100C80B9EA7492E4100369316D1B6024100337AEAA5492E4100D061A8CEB60241001DD557A4492E41000A4419CBB6024100B509F2A2492E4100501A84C6B602418023D8C3A1492E410026D50BC1B60241008BD1D5A0492E41002AC5D8BAB6024180065A2FA0492E4100149F1AB4B6024100A9FAD49F492E4100A6C703ADB60241807DB9C99F492E4100B2FFC9A5B602410084960DA0492E410008B4A39EB6024101000000020000000001000000FFFFFFFF0000000003
110,Q174A-SYNTURF-0028,Q174A,Q-01,St. Michael's Playground,30th Avenue and BQE W,Field Group,Infill,Rubber Crumb,false,DPR,NULL,DPR,NULL,Capital,Q174-105M,10/29/2008,False,Q,0xD70800000104210000008000715E6DE02E41006C3E582D540A41803CD20418E12E41005EE508A6540A4100AF397922E12E41006CB3F0B1540A4180C412512CE12E4100D2EE64C4540A41807EDA4A35E12E4100B8F9EBDC540A4180F7442B3DE12E4100A839E3FA540A41806614BE43E12E4100A277841D550A418095F1AE66E12E4100C2786D43560A41803DAF0423E22E410018AF1BD8540A41007C6ED148E22E4100F81E2D18550A4100E978B2ACE22E41002C66B6A3580A4100CE8D52B1E22E410058A857A6580A410084AB36B0E22E4100CA49AAC3580A4100AEA90058E32E4100A086A9945E0A41003BF83925E32E4100B8E9E1FD5E0A4100E9E97117E32E41007EC0107B600A4100869D1C8BE12E4100F48F15AA5F0A41808E347E96E12E41009E31B0F85E0A4100878108E5DF2E4100C4CDC3055E0A41809C6B91CEDF2E4100C8D898AC5D0A4180A6C01404E02E4100D0F33E76570A410051A37330E02E41008A93E2CD540A41001F74B131E02E41000E0BC7AF540A4180A48A2734E02E4100504BE592540A41009F6EC437E02E4100588F0578540A4100AD186F3CE02E4100F4F5E15F540A418052730742E02E4100B2D1234B540A4100F82F6648E02E4100C0405A3A540A4100F2205F4FE02E4100DC80F92D540A41808510C256E02E41005AEB5826540A4100EC6C5B5EE02E4100003DAC23540A41005977F665E02E41001CF20626540A418000715E6DE02E41006C3E582D540A4101000000020000000001000000FFFFFFFF0000000003
167,X182-SYNTURF-0023,X182,X-01,Millbrook Playground,E 135 Street and Cypress Avenue,Play Area,Infill,Unknown,false,DPR,NULL,DPR,NULL,Capital,X182-106MA,11/16/2007,False,X,0xD7080000010425000000805BC67710BE2E41000243208F5B0C4180F09C6756BE2E4100025DCD7C5D0C4180C5132357BE2E4100F88FBC825D0C41809E5D9D57BE2E41007C9012895D0C41006EF3D257BE2E4100E205A38F5D0C41802D52C257BE2E410076933F965D0C4180E0256C57BE2E41008888BA9C5D0C41808D72D256BE2E410062DCE4A25D0C410047C1F955BE2E410064E694A85D0C410024F3E754BE2E4100EAFDA0AD5D0C41004197A453BE2E410074DEE6B15D0C4100B0F2B815BE2E4100C8B6863C5E0C41009F47A313BE2E4100008CF13F5E0C4100228F7111BE2E4100D643F8415E0C41806F10320FBE2E4100186E8D425E0C4180C214F40CBE2E4100B85AAE415E0C410056BAC60ABE2E4100CCBD5F3F5E0C41006273B808BE2E41008C0BB13B5E0C41801B06D706BE2E41005C20BB365E0C4100B30B2F05BE2E4100BA949F305E0C418054C5CB03BE2E410044B986295E0C41007F8969C1BD2E4100B819184F5C0C4180DEADBBC0BD2E4100785088475C0C41006FC55CC0BD2E4100EA85A23F5C0C41803CAB4FC0BD2E4100D6769A375C0C4180465F94C0BD2E410008E0A32F5C0C4100863329C1BD2E4100462AF3275C0C4180ED750AC2BD2E4100540EBA205C0C4180667032C3BD2E4100E694271A5C0C410078750E03BE2E4100E22868895B0C4180BB0BEF04BE2E4100520029865B0C41006CDAEB06BE2E4100E6D43D845B0C41805144F608BE2E4100D66EB5835B0C41802FD5FE0ABE2E4100302A93845B0C4100CB43F60CBE2E4100DEA6D1865B0C4100ECF2CD0EBE2E41009CC05E8A5B0C41805BC67710BE2E41000243208F5B0C4101000000020000000001000000FFFFFFFF0000000003
67,M071-SYNTURF-0016,M071,M-14,Riverside Park - West 101st Street,Riverside Drive and West 101st Street,Field Group,Infill,EPDM,false,DPR,NULL,Other,Riverside Park Conservancy,Unknown,NULL,01/01/1899,False,M,0xD7080000010427000000801C39100E412E4100E0279094250C41008EA9C920412E4100E6610074250C418031C59834412E4100642D3A60250C4100F14CF348412E41007248C759250C4100A3784A5D412E4100BAB7D460250C4180222C1071412E4100841A3275250C410057D2B983412E4100A6525096250C41004811C594412E41009CE446C3250C4100287ABAA3412E4100AAB3DCFA250C4100616631B0412E4100EA5D8B3B260C41806C2436AC422E4100C01D0A362D0C4100B8E918AE422E41007A3116582D0C4180ABEB99AE422E41002C78E67A2D0C418038CEB5AD422E4100607E969D2D0C4180764772AB422E4100ACD443BF2D0C4100A0A0DEA7422E4100B4BF10DF2D0C41800DB211A3422E410054F42CFC2D0C41803A912B9D422E4100AA9FD9152E0C4180BB5F5296422E41002AC76E2B2E0C41004078B38E422E4100AEF85D3C2E0C410067239500422E4100C4EF6D762F0C4180EBFF57F5412E4100DAF5C78F2F0C41801DFA3EE9412E41004C2FBBA12F0C418029D897DC412E410060B6D4AB2F0C41004710B3CF412E4100185ED3AD2F0C4100B79DE3C2412E4100440EABA72F0C4100B5237BB6412E41007EBF82992F0C41007641C9AA412E410026D3B5832F0C41001A8C18A0412E410054B3CE662F0C4180AAB7AD96412E4100D4D286432F0C418044E84ED7402E410072FF78F7270C41000A45D2D1402E4100089B96A2270C410010AA04D0402E4100FAE4354B270C41008A5CF3D1402E410014EFDFF3260C4180401590D7402E41002C231F9F260C41009200B1E0402E4100C816694F260C4180774112ED402E4100DA160F07260C41008EF557FC402E410088AB2AC8250C41801C39100E412E4100E0279094250C4101000000020000000001000000FFFFFFFF0000000003
181,B387-SYNTURF-0062,B387,B-16,Hilltop Playground,Dean Street and Thomas S Boyland Street,Play Area,Non-Infill,Not Applicable,true,DPR,NULL,DPR,NULL,Capital,B387-116M,07/26/2017,False,B,0xD708000001042B00000000559C6A61C22E4100C44EBDB39D06418064D3B061C22E410002247CA29D0641003CFAAE62C22E4100E87EA8919D064100BFD75D64C22E41004EFDBB819D064100BF53B166C22E4100EC8429739D064100FA769869C22E41005E935A669D0641802098FE6CC22E41000AE2AB5B9D064180D1AFCA70C22E41001AB66A539D064180A4B2E174C22E41007430D24D9D0641009F818B98C22E41002866EC439D064100412C141EC32E4100C29EDB1E9D064100CF029521C32E4100DC1F1C1E9D0641804CA61125C32E4100EC41AD1F9D0641005B907128C32E4100C84484239D0641809F3C9D2BC32E4100064886299D064180C4A97E2EC32E410006A389319D0641807B840131C32E4100EEE4553B9D06418082AA1433C32E4100B830A7469D064100A17EA934C32E410032E92E539D064100ABBFB435C32E4100065D94609D064100855F2F36C32E4100D07E7B6E9D064180EAFBA841C32E4100F065EF03A0064180E41A2341C32E4100845BEB15A006410021CFE73FC32E4100EC865727A0064180BDFDFE3DC32E4100705AC237A0064100EC3F753BC32E41007254C046A0064100EB0B5B38C32E4100725BEF53A00641000AB5C434C32E41002C1AFA5EA0064100A394C930C32E410082FF9767A00641801A89832CC32E41009C9A906DA0064100DDCA0E28C32E4100E69EBD70A0064180EF8F8626C32E41008A782A71A006418063868C83C22E41008EEB669EA00641009D85367FC22E41006C3F3B9AA0064100BA4F1B7BC22E410086584793A006410027F25677C22E410094EBBA89A00641004ACC0374C22E410096D1D77DA00641007BB63871C22E4100CCAFF06FA006410005D7086FC22E4100A8EF6460A00641802277836DC22E4100C8BEA04FA0064100FC00B36CC22E4100EE02173EA00641808418946CC22E4100081C2337A0064100559C6A61C22E4100C44EBDB39D064101000000020000000001000000FFFFFFFF0000000003
41,B129-SYNTURF-0032,B129,B-13,Kaiser Park,Bayview Avenue and Neptune Avenue,Field Group,Infill,Rubber Crumb,false,DPR,NULL,DPR,NULL,Capital,B129-103M,12/12/2005,False,B,0xD708000001042400000080EADFCB7D112E41004E93BE815F0241009FF3FF76112E4100FE9447FF5F02418054C7536C112E4100B2256D7860024100B286F25D112E4100067245EB6002418096CF154C112E4100028B03566102410019DD0537112E41001E12F8B6610241008258171F112E41007A519D0C6202418096B1C20C112E4100665DD031620241003F6C49F9102E41003EFF224C62024180098112E5102E4100E474095B62024180914488D0102E41002ACD355E62024100C5C0A413102E4100269969EA610241803484DAFF0F2E410048370CCF610241003DD782ED0F2E4100FA1AA6A661024100EF1F26DD0F2E4100C44462726102410020A63DCF0F2E410088BEC5336102418045EAB3BD0F2E4100BCEAD3B9600241800CCBB8B00F2E4100DED0133760024100805291A80F2E4100682F3AAE5F024100478168A50F2E41004EB11C225F024180A24E4FA70F2E4100CE79A2955E024180F80E0AF80F2E410014A5A90656024180C0CCFEFF0F2E4100CE4FCB7B55024100D82FF10C102E4100509A12F7540241802AFF991E102E4100A08B587B5402410040CD9734102E41000CCE470B5402410045FE714E102E4100E4DA47A95302418096076259102E410040BA72A7540241801A6CA77F112E410040235D5455024180185207A2112E4100906C1D6D54024100AE103DB3112E4100BAB41EE6540241809E5F25C0112E4100F08C686755024100F8EC81C8112E4100C46B8BEE5502410020932ACC112E41006893FD7856024100D1830DCB112E4100BE75220457024180EADFCB7D112E41004E93BE815F024101000000020000000001000000FFFFFFFF0000000003
5,X299-SYNTURF-0033,X299,X-03,Little Claremont Park,Claremont Parkway and Park Avenue,Play Area,Infill,Unknown,false,DPR,NULL,Unknown,NULL,Unknown,NULL,01/01/1899,True,X,0xD7080000010405000000809BC78CEBD82E4100DCF26BFCE20D4180B56D297FD92E4100AC8F29FAE10D418088F56FA7D92E4100B0047C6AE30D41806E4FD313D92E4100E067BE6CE40D41809BC78CEBD82E4100DCF26BFCE20D4101000000020000000001000000FFFFFFFF0000000003
62,M015-SYNTURF-0006,M015,M-01,Columbus Park,Hogan Place and Baxter Street,Field Group,Infill,Rubber Crumb,false,DPR,NULL,DPR,NULL,Capital,M015-104M,06/30/2005,False,M,0xD708000001042300000080AB479697082E4100A46D6EF7670841800307E19D082E4100865962D8670841801E59DF9C082E410016B93CD7670841007248EC9B082E4100423279D56708410015B60D9B082E41003CDD23D3670841801D58499A082E410036D64AD0670841809CB7A399082E41007A4100CD67084100A3072199082E4100564758C9670841003D79C498082E4100226C6AC567084100733B9098082E41003EE04EC1670841804AD18598082E41000ED81FBD6708418062BDFCA5082E4100C6A0CD7564084100DC42FDCB092E4100DAE876C664084100BB4614C8092E4100F8D03287660841801EF2D4CC092E4100A45BA6BD66084180D716BDD3092E410084EB46F0660841002E2B9DDC092E41005C77BA1D6708418038E138E7092E41007CE6C94467084180DE7C47F3092E4100DC246B6467084180F279F0EF092E410086C615A967084180D507F7E9092E4100E490D4EA67084100177180E1092E4100BAA10B2868084100849FC1D6092E410042A73C5F6808410021C4FDC9092E410042980D8F68084100136421B0092E410018DD89D46808418077ED0E94092E41002C96940A69084100865B5976092E410044E714306908418095639B57092E4100604545446908418012717538092E4100F036BE466908410074748A19092E4100C09F71376908418029B07BFB082E41000275AF166908418091DDE5DE082E41004E0D23E568084180ED515EC4082E41008C6CCEA36808410055776FAC082E4100E693075468084180AB479697082E4100A46D6EF767084101000000020000000001000000FFFFFFFF0000000003
119,Q423-SYNTURF-0039,Q423,Q-05,Reiff Playground,Fresh Pond Road and 59th Drive,Field Group,Infill,Rubber Crumb,false,DPR,NULL,DPR,NULL,Capital,QG-1205M,08/11/2006,False,Q,0xD708000001041700000000487B0CC2DD2E410000613FD786084100C400A7E7DD2E4100D0043CD8860841001B14C6E8DD2E41006C6AC09E8608410059788F06DE2E410050716E9D8608418055293F23DE2E41004EDFFA9E860841809B1E179EDE2E4100F6CC9CA586084100489E019EDE2E4100543102298708418031D849A7DE2E41006A89DC60870841800869EBE1DE2E4100286AD096870841802FE8D5E5DE2E410038FD18888708410049AD38E9DE2E41007040E58787084180C82620EADE2E41007CE9376B870841000EADBA09DF2E4100D6DFB48687084100C3230D25DF2E410042EAC86A88084100CDDFAA20DF2E4100D41162BD88084100D7495F17DF2E4100FA3549B98808418081B1A70BDF2E410018DF74D488084180D505D1FEDE2E4100D64D13E5890841006C1E4910DF2E41000C400DF289084180472735E1DE2E41000A981D698D08418062686A8FDD2E41008A6FF5368C08418006CC857EDD2E410036FC33BF8B084100487B0CC2DD2E410000613FD786084101000000020000000001000000FFFFFFFF0000000003
176,B431-SYNTURF-0065,B431,B-02,Brooklyn Bridge Park,Furman Street and Joralemon Street,Field Group,Non-Infill,Not Applicable,false,Other,Brooklyn Bridge Park Conservancy,Unknown,NULL,Unknown,NULL,01/01/1899,False,B,0xD70800000104050000008041B8A34C072E41000EE994A2750741804490754A082E41008A8BF86D7E07418084805546042E4100CCEDF8C08507410013E20A45032E4100B0BCF8F67C07418041B8A34C072E41000EE994A275074101000000020000000001000000FFFFFFFF0000000003
169,X118-SYNTURF-0014,X118,X-09,Soundview Park,Soundview Park Greenway,Field Group,Infill,Coated Sand,false,DPR,NULL,DPR,NULL,Capital,X118-910M PLANYC,06/24/2014,False,X,0xD708000001041500000080598788F41B2F41001CC43B8FF00C41005445FDFA1B2F4100EE5EAD2BF00C41802ED183041C2F4100520525CCEF0C4180485047891D2F410040A65CDEF00C41803CAC0A8A1D2F410068385747F10C41002B7870871D2F4100BCD8D8AFF10C41003CDF860F1D2F41007090E54FFC0C410086B7C7051D2F4100BA8039B3FC0C4180BED2E9F81C2F41006012B310FD0C4180B81E24E91C2F41005223C166FD0C418079CCB9D61C2F41000482F5B3FD0C4100F3511E4E1C2F4100E84D1FA7FC0C41006BFF5F521C2F41002C288646FC0C41004AD4722F1C2F4100DC90E32DFC0C418054BB102B1C2F410094B95391FC0C4100DF71F7921B2F4100D4FBCDCBFC0C410006AB68881B2F41000235E469FC0C4100B8DF17811B2F410048D85903FC0C41806E4E247D1B2F41004AA8E599FB0C41006AC39E7C1B2F4100CE7B482FFB0C4180598788F41B2F41001CC43B8FF00C4101000000020000000001000000FFFFFFFF0000000003
36,B109-SYNTURF-0024,B109,B-15,Bill Brown Playground,Bedford Avenue and Avenue X,Field Group,Infill,Rounded Sand,false,DPR,NULL,DPR,NULL,Capital,CNYG-1208M PLANYC,06/16/2011,False,B,0xD708000001042C000000009E7D0CDA7E2E4100E68F9B7AEA024180603364F17F2E4100F63D2714EB0241005A5F3AF47F2E410032A25918EB024100811EDAF67F2E410076FD5C1EEB0241808E2131F97F2E41001CFB0626EB02410043F22EFB7F2E4100542E212FEB024100689FC5FC7F2E4100286E6C39EB024100D3E7E9FD7F2E41007E29A044EB02418064E693FE7F2E410026176D50EB0241000BE7BEFE7F2E4100E23D815CEB024100C19169FE7F2E410066488768EB02410017FDEFB77F2E410044AC8D0BF3024180576FBEB77F2E41004EB7BE18F30241807C7501B77F2E410022CD9F25F30241009A44BEB57F2E4100608CD531F3024180D3EEFDB37F2E4100B8F3093DF302410058B7CCB17F2E4100F661EC46F302410065683AAF7F2E41000EA2374FF302410040FB58AC7F2E410016E7AF55F302418039443DA97F2E41005E80275AF3024180A5EEFCA57F2E410070857F5CF3024180DD53AFA27F2E4100067EA65CF30241003DCD6B9F7F2E410020BE9B5AF30241806881DE897E2E4100DA6E94BBF202410021CF6F867E2E41005A9FACBAF20241802E1E17837E2E410006EB7CB7F2024180EE9EEC7F7E2E410032D21AB2F2024100BA29077D7E2E410078F9ADAAF2024100E1927B7A7E2E4100A6216CA1F2024100AB545C787E2E4100C0CF9796F202418053B8B8767E2E4100F4F47E8AF202418007559C757E2E410090EA787DF2024100E7900F757E2E410004C2E36FF2024100001E16757E2E4100C6E82062F202410053D1AF757E2E41005A7C9454F2024180641702BC7E2E4100EA266BB9EA024100AA5D25BE7E2E410016042EA9EA0241008323F3C07E2E4100E0F7A69AEA0241809CE855C47E2E4100F633448EEA02410093F933C87E2E4100C4216584EA024180F51B70CC7E2E41006CAA537DEA02418045B9E9D07E2E4100BE3A4679EA02410000B87ED57E2E410032BB5B78EA0241009E7D0CDA7E2E4100E68F9B7AEA024101000000020000000001000000FFFFFFFF0000000003
43,B163-SYNTURF-0038,B163,B-05,Sperandeo Brothers Playground,Cleveland Street and Atlantic Avenue,Field Group,Non-Infill,Not Applicable,true,DPR,NULL,DPR,NULL,Capital,CNYG-1508M PLANYC,06/06/2011,False,B,0xD708000001042C00000080B3B5B99A022F41003E8508A7B706418052D4C897022F4100C2F394A4B7064180778DFA94022F4100205B48A0B70641806A866192022F4100C6F33E9AB70641006DB60E90022F41004E0EA192B7064180BA66118E022F410076B79F89B706418085B1768C022F41002410767FB7064180F600498B022F41005EF56774B70641802B3A908A022F41003EF8BD68B7064100383C518A022F4100E805C45CB7064180205F8D8A022F41008EBBC850B7064180DF1F438B022F410060621B45B706410026B552D7022F4100AAED2856B1064180BBB5FDD7022F41001266E44AB1064100285422D9022F4100EA204140B106410048A9B7DA022F410068138F36B1064100EEC7B1DC022F4100AC7E192EB1064100DF6601DF022F4100B2372027B1064100D70D95E1022F410048ABD921B10641808A1559E4022F410008D26C1EB1064180A62838E7022F410056E0F31CB1064180D6701CEA022F410060EE7A1DB1064180C5ECEFEC022F410018F4FD1FB1064180977A48FC032F4100E0BC1AF3B10641807708A500042F41001A17C8F6B1064100827DCA04042F41006ED853FDB106418043C89A08042F410026A48F06B2064180505CFA0B042F4100409D3712B2064100EA2FE849042F41008857AE9BB30641805D05934B042F410012FB2BAEB3064100F334804C042F4100C6957AC1B30641809533AA4C042F4100C8DD1FD5B30641803FA90F4C042F41004235A2E8B306418027C8B013042F4100045DAA54B806410047186E12042F4100C84D7967B806410061836310042F41002AFA2579B8064100B152A00D042F410034B42E89B8064180862F390A042F4100108A1A97B806410043214706042F410032AE82A2B806418058E3E701042F4100527712ABB806418044B63BFD032F410074B888B0B80641008FB565F8032F41000079BEB2B8064100C17D89F3032F4100B440A2B1B8064180B3B5B99A022F41003E8508A7B7064101000000020000000001000000FFFFFFFF0000000003
100,Q099-SYNTURF-0011,Q099,Q-15,FMCP Soccer-05,Path of Research,Field Group,Infill,Unknown,false,DPR,NULL,DPR,NULL,Capital,Q099-111M,07/16/2013,False,Q,0xD708000001040500000080230970736C2F41002029017FE6094180ED4FEC616B2F4100E0533837F0094180633285EB692F41001C28A2A2ED09410083A83CFC6A2F410034DC2FECE3094180230970736C2F41002029017FE6094101000000020000000001000000FFFFFFFF0000000003
157,B113A-SYNTURF-0027,B113A,B-02,Cadman Plaza Park,Tillary Street and Cadman Plaza East,Play Area,Infill,Rubber Crumb,false,DPR,NULL,DPR,NULL,Capital,B113-105M,12/28/2006,False,B,0xD708000001043D000000005460F92E1D2E410076F5E414A3074180D1FA5B2F1D2E410004B597F0A20741804360792F1D2E41001007C0E5A20741003F1EC3301D2E41001679466CA207418002A69C351D2E4100FCBDD107A10741001A8C7A381D2E4100C8580AC89F0741802266123B1D2E4100AAA5C8A69E074180E2CA9A451D2E41003ABB61629A074100DF09104C1D2E4100D4CF95C4970741004A92E94B1D2E410064D093A19707418015261E4C1D2E41001073638797074180E365534C1D2E4100C29EF87C970741002A4F88501D2E4100E4444D9597074180BFE513551D2E41002E43A3AC97074100964CF2591D2E4100521DE7C2970741809ED11F5F1D2E41000CAF06D897074180C6C097641D2E41001680F0EB97074180FEE6556A1D2E410032C493FE97074100349055701D2E410026B3E10F98074180528791761D2E4100B684CB1F980741804697047D1D2E4100B674442E98074180FCE0A9831D2E4100F26A403B980741805D587B8A1D2E410040FBB3469807418055C873911D2E41008015975098074100CD248D981D2E41008E51E05898074100AEE2C19F1D2E410054A3895F98074180E09F0BA71D2E4100BAFE8C64980741804ED164AE1D2E4100B05BE66798074180DFE9C6B51D2E41002A0A9369980741807C332CBD1D2E410024B29169980741000D4C8EC41D2E4100A053E267980741807A52E7CB1D2E4100A046866498074100AD0F31D31D2E4100303B805F980741808DA265DA1D2E410062E5D4589807410004D47EE11D2E41004AF9885098074180FAED76E81D2E410000DBA346980741005C6548EF1D2E4100A89A2D3B98074100102EEDF51D2E410062F42E2E98074100031360FC1D2E41005C00B41F9807418020B49B021E2E4100C22AC80F9807410054DC9A081E2E4100C83778FE970741008A81580E1E2E4100A243D2EB97074100B11AD0131E2E4100921AE7D797074180B71EFD181E2E4100D084C5C2970741808C2FDB1D1E2E4100A4A67FAC97074100204566221E2E4100565028959707410064829A261E2E41002E52D27C9707410059351F2F1E2E4100A612B5339A074180F7EFD23F1E2E4100F4512D869F074180698432401E2E4100D893A5A49F0741006B38B7401E2E410062C3EACE9F07418081378C421E2E4100A69D6164A007410006EC66491E2E4100F0488693A2074180A2384D491E2E4100B0A2E3ECA2074100C53388211E2E410018179BC2A2074180A1A8EAF81D2E4100C43428A8A2074180BD35D9CF1D2E4100AC7CCB9DA2074100A250B9A61D2E410038239FA3A2074180D91AF17D1D2E41002E0C95B9A2074100EA5DE5551D2E4100BC1E76DFA20741005460F92E1D2E410076F5E414A3074101000000020000000001000000FFFFFFFF0000000003
17,X201-SYNTURF-0027,X201,X-08,Seton Park,Independence Ave and W 232nd Street,Field Group,Infill,Rubber Crumb,false,DPR,NULL,DPR,NULL,Capital,X201-116M,01/01/1899,True,X,0xD70800000104080000000044220782BD2E4100627EF3A2FE0F41808EC17844BE2E410098652C1CFB0F4180E96C9935C02E4100DF44ACE6001041801AB8110DC02E41000D2BA43001104180EB555517BE2E4100D7D100BF01104100BBA7D1F9BD2E4100E566728701104180257723F1BD2E41009A9C00C50010410044220782BD2E4100627EF3A2FE0F4101000000020000000001000000FFFFFFFF0000000003
201,B028-SYNTURF-0006,B028,B-10,Dyker Beach-Soccer-03,14th Avenue and Benson Avenue,Field Group,Infill,Green,false,DPR,NULL,DPR,NULL,Capital,B028-116M,01/01/1899,False,B,0xD7080000010405000000009A2863FAE82D41001480063FCB03410095404071E72D41009CFD6864CD034180EC7E4F7CE62D41004C95D47BC2034180B0127307E82D4100C44E3857C00341009A2863FAE82D41001480063FCB034101000000020000000001000000FFFFFFFF0000000003
